#HDNum,CommonName,RA,Dec,Mag,ColorIndex
157246,,17.42323884,-56.37768824,3.31,-0.150
159181,,17.5072158,+52.30135901,2.79,0.954
158408,,17.512733,-37.29574016,2.70,-0.179
158094,,17.51832693,-60.68360667,3.60,-0.104
158427,,17.53070044,-49.87598159,2.84,-0.136
158926,Shaula,17.56014624,-37.10374835,1.62,-0.231
159561,Rasalhague,17.58222354,+12.56057584,2.08,0.155
159532,,17.62197938,-42.99782155,1.86,0.406
159876,,17.62645145,-15.39840835,3.54,0.262
160762,,17.65774789,+46.00632216,3.82,-0.179
160578,,17.70813327,-39.02992092,2.39,-0.171
161096,,17.72454914,+04.56691684,2.76,1.168
160635,,17.76222289,-64.72373450,3.61,1.161
161797,,17.77436636,+27.72249917,3.42,0.750
161471,,17.79307809,-40.12698197,2.99,0.509
161868,,17.79821501,+02.70745875,3.75,0.043
161892,,17.83095867,-37.04337105,3.19,1.192
163588,,17.8921193,+56.87245216,3.73,1.177
163770,,17.93754959,+37.25052158,3.86,1.350
164058,Etamin,17.94343829,+51.48895101,2.24,1.521
163993,,17.96273073,+29.24792527,3.70,0.935
163917,,17.9837771,-09.77334973,3.32,0.987
164353,,18.01075431,+02.93158759,3.93,0.029
165135,,18.09681239,-30.42365007,2.98,0.981
165024,,18.11052188,-50.09145462,3.65,-0.101
165777,,18.12250574,+09.56365345,3.71,0.159
166014,,18.12570854,+28.76247025,3.84,-0.018
166937,,18.2293913,-21.05883031,3.84,0.195
167618,,18.29381366,-36.76128103,3.10,1.582
168454,,18.34989489,-29.82803914,2.72,1.380
170153,,18.35064971,+72.73369763,3.55,0.489
168723,,18.35525571,-02.89712200,3.23,0.941
169414,,18.39493521,+21.77034249,3.85,1.168
169022,KausAustralis,18.40287397,-34.38431460,1.79,-0.031
169467,,18.44956396,-45.96832919,3.49,-0.179
169916,,18.46618597,-25.42124732,2.82,1.025
171443,,18.58678829,-08.24330819,3.85,1.317
172167,Vega,18.61560722,+38.78299311,0.03,-0.001
173300,,18.76093138,-26.99077940,3.17,-0.107
174638,,18.83466497,+33.36267788,3.52,0.003
175191,Nunki,18.92108797,-26.29659428,2.05,-0.134
175775,,18.96216103,-21.10662433,3.52,1.151
176437,,18.98239571,+32.68955312,3.25,-0.049
176687,,19.04353428,-29.88011429,2.60,0.062
177241,,19.07803717,-21.74135451,3.76,1.012
177724,,19.09017012,+13.86370983,2.99,0.014
177756,,19.10415275,-04.88233456,3.43,-0.096
177716,,19.11567841,-27.66981416,3.32,1.169
178524,,19.1627316,-21.02352534,2.88,0.377
180711,,19.20920972,+67.66131695,3.07,0.990
181276,,19.28503052,+53.36816064,3.80,0.950
181577,,19.36121535,-17.84725155,3.92,0.228
181454,,19.37730181,-44.45891013,3.96,-0.085
181869,,19.3980976,-40.61564629,3.96,-0.105
182640,,19.42493129,+03.11457923,3.36,0.319
184006,,19.49509425,+51.72946747,3.76,0.148
183912,,19.51202368,+27.95969480,3.05,1.088
186882,,19.74956725,+45.13069195,2.86,-0.002
186791,Tarazed,19.77099171,+10.61326869,2.72,1.507
187076,,19.78979589,+18.53425912,3.68,1.313
188119,,19.8028371,+70.26783533,3.84,0.888
187642,Altair,19.84630057,+08.86738491,0.76,0.221
187929,,19.8745455,+01.00567827,3.87,0.630
188512,,19.92187948,+06.40793334,3.71,0.855
188947,,19.93844337,+35.08349079,3.89,1.019
189319,,19.97927434,+19.49209287,3.51,1.571
188228,,20.00983148,-72.91018443,3.97,-0.032
190248,,20.14496114,-66.17932101,3.55,0.751
191692,,20.18840688,-00.82147569,3.24,-0.066
192577,,20.22719518,+46.74132417,3.80,1.270
192909,,20.25786618,+47.71420530,3.96,1.451
192947,,20.30089401,-12.54485877,3.58,0.883
193495,,20.35017956,-14.78140119,3.05,0.790
194093,,20.37047223,+40.25668150,2.23,0.673
193924,,20.42745823,-56.73488071,1.94,-0.118
196524,,20.62579715,+14.59520289,3.64,0.425
196171,,20.62610824,-47.29166239,3.11,0.998
196867,,20.66062626,+15.91205270,3.77,-0.057
197345,Deneb,20.69053151,+45.28033423,1.25,0.092
197051,,20.74932102,-66.20323826,3.42,0.163
198149,,20.75479684,+61.83679404,3.41,0.912
197989,,20.77012006,+33.96945334,2.48,1.021
198001,,20.79459238,-09.49568988,3.78,0.000
198700,,20.91349433,-58.45409470,3.67,1.250
199629,,20.95289212,+41.16719384,3.94,0.027
200905,,21.08218216,+43.92785122,3.72,1.609
202109,,21.21560598,+30.22708128,3.21,0.990
202444,,21.24648517,+38.04432043,3.74,0.393
202447,,21.26372131,+05.24807390,3.92,0.549
203280,Alderamin,21.30960598,+62.58545529,2.45,0.257
204075,,21.44445214,-22.41137838,3.77,1.002
205021,,21.47765973,+70.56069481,3.23,-0.201
204867,,21.52597796,-05.57115593,2.90,0.828
205435,,21.56635357,+45.59206564,3.98,0.885
206088,,21.66815062,-16.66225343,3.69,0.320
205478,,21.69124253,-77.38946215,3.73,1.008
206778,Enif,21.73642787,+09.87500791,2.38,1.520
207098,,21.78396813,-16.12656595,2.85,0.180
207971,,21.8987928,-37.36482290,3.00,-0.084
209750,,22.09639591,-00.31982656,2.95,0.969
210027,,22.11679848,+25.34504610,3.77,0.435
209952,Alnair,22.13718789,-46.96061593,1.73,-0.070
210418,,22.16994993,+06.19778900,3.52,0.086
210745,,22.18090608,+58.20124992,3.39,1.558
211416,,22.30838283,-60.25949486,2.87,1.390
212061,,22.36091665,-01.38735315,3.86,-0.057
213051,,22.48050015,-00.02006304,3.65,0.406
213009,,22.48782057,-43.49555433,3.97,1.022
213558,,22.52149326,+50.28244976,3.76,0.031
214923,,22.69102078,+10.83139111,3.41,-0.086
214952,,22.71109302,-46.88456594,2.07,1.610
